pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timech
4,-3,-176,0,0,7,79,81,78,50,76,92.58,293,77,74,-1063,0.102
4,-3,-176,0,0,6,78,81,66,40,76,92.62,293,84,66,-1072,0.102
4,-3,-176,0,0,6,78,81,61,40,76,92.23,293,52,62,-1047,0.102
3,-3,-176,0,0,5,78,81,55,30,76,92.34,293,88,59,-1046,0.102
3,-3,-176,0,0,5,78,81,49,20,76,92.61,293,70,60,-1003,0.102
3,-3,-176,0,0,4,78,81,45,20,76,92.16,294,59,37,-1010,0.102
3,-2,-176,0,0,4,78,81,40,10,76,92.25,294,76,50,-1003,0.102
3,-2,-176,0,0,4,78,81,36,10,76,92.12,294,45,35,-953,0.102
3,-2,-176,0,0,4,78,81,31,10,76,91.79,294,76,38,-991,0.102
3,-2,-176,0,0,4,78,81,27,0,76,92.04,294,79,32,-1000,0.102
3,-1,-176,0,0,4,78,81,25,0,76,92.2,294,83,21,-980,0.102
3,-1,-176,0,0,4,77,80,20,0,76,91.75,294,70,30,-998,0.102
3,-1,-176,0,1,4,77,80,15,0,76,91.88,294,79,36,-983,0.102
4,0,-176,0,0,4,77,80,12,-10,76,91.36,294,43,22,-988,0.102
3,0,-176,0,0,4,77,80,10,-10,76,90.55,294,34,24,-1034,0.102
3,0,-176,0,0,4,77,80,10,-20,76,88.92,295,-16,17,-1107,0.102
0,1,-175,1,1,3,77,80,10,-20,76,89.66,295,379,229,-1576,0.102
3,0,-176,0,0,-1,77,80,10,-20,75,89.93,295,-7,-38,-855,0.102
1,0,-175,0,0,1,77,80,10,-20,75,89.92,295,-4,-6,-1011,0.101
0,0,-175,0,0,0,77,80,10,-20,75,90.12,295,47,-9,-1013,0.103
0,0,-175,0,0,0,77,80,10,-20,75,90.36,295,33,-7,-978,0.102
0,0,-175,0,0,0,79,81,10,-20,75,90.56,295,14,-6,-991,0.102
0,0,-175,0,0,0,79,81,10,-20,75,90.79,295,21,0,-1005,0.102
0,0,-175,0,0,0,79,81,10,-20,75,90.53,295,10,0,-986,0.102
0,0,-175,0,0,0,79,81,10,-20,75,90.87,295,3,-2,-978,0.102
